,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4668141518979072,0.0,3.004,2.548,2.682,2.107,3.219,3.154,2.557,2.653,2.468,2.766,1.647,3.087,2.987,2.598,3.135,2.343,2.776,1.91,3.292,3.353,2.483
4676107878006784,0.0,2.9,2.877,3.37,2.95,2.799,2.511,2.82,2.653,2.753,3.534,2.537,2.975,2.347,2.97,2.951,2.587,4.058,2.61,3.006,2.579,3.104
4700097652719616,0.0,3.235,3.877,3.552,2.95,2.994,3.325,2.972,2.918,3.579,3.855,2.761,3.03,3.206,3.08,3.344,3.548,3.517,3.012,3.143,3.353,3.108
4703248044785664,0.0,2.051,2.973,2.987,5.901,2.429,3.154,2.499,2.575,7.157,2.085,2.682,2.639,13.143,2.598,2.951,3.45,0.879,1.566,3.143,3.193,2.355
4714749832986624,0.0,3.235,3.185,3.459,3.278,3.787,3.237,3.142,2.918,3.112,3.635,2.761,3.636,3.129,3.198,3.459,2.888,3.517,3.262,3.841,3.353,3.191
4720213803139072,0.0,2.474,2.973,2.857,2.81,3.065,2.617,2.894,2.304,3.253,3.262,2.347,3.03,2.306,2.97,2.711,3.184,2.776,1.91,3.143,2.484,2.936
4733768619261952,0.0,2.051,2.787,2.857,3.471,2.994,2.929,2.682,1.99,2.468,3.262,2.845,3.272,2.155,3.08,2.711,2.07,3.297,3.262,3.292,2.794,2.879
4779619509075968,0.0,3.505,2.702,3.129,2.95,3.388,2.796,2.894,3.243,2.386,3.029,2.761,3.409,2.682,2.97,3.459,2.822,2.029,3.404,3.292,2.915,2.879
4788473852592128,0.0,2.9,2.41,2.682,3.19,2.406,3.515,2.557,2.653,2.386,2.827,2.682,2.304,3.057,2.376,3.135,2.179,2.638,3.012,2.469,3.725,2.611
4788773460115456,0.0,2.713,3.303,3.286,2.81,4.153,3.566,11.576,1.51,3.408,3.438,2.47,4.09,3.206,3.615,2.787,3.105,3.297,2.796,4.321,3.353,3.668
4789102796865536,0.0,2.697,3.206,2.796,2.682,3.14,3.325,3.055,2.432,3.112,3.029,2.29,3.339,2.987,3.198,2.951,2.822,2.638,2.7,3.292,3.193,2.95
4790375617134592,0.0,2.336,2.41,2.796,2.36,3.219,3.0,2.82,2.304,2.468,2.958,1.877,3.272,2.921,3.08,2.64,2.258,2.638,2.447,3.143,2.579,2.92
4794896170876928,0.0,3.364,3.303,3.206,3.471,2.739,3.0,2.894,2.918,3.253,3.348,2.934,2.639,2.347,2.867,3.344,3.184,3.297,3.404,3.006,2.682,2.733
4798416265674752,0.0,3.115,3.716,3.37,3.471,3.219,3.515,3.332,2.824,3.579,3.534,3.028,3.208,3.552,3.615,3.236,3.548,3.517,3.404,3.143,3.944,3.435
4799189124907008,0.0,2.713,3.567,3.129,3.278,3.388,3.417,3.666,2.432,2.651,3.348,3.129,3.409,3.286,2.97,3.583,2.76,3.103,3.262,3.639,4.191,2.84
4804619976835072,0.0,3.235,3.075,2.629,3.278,2.739,3.075,3.437,3.019,3.112,2.766,2.845,2.597,2.796,3.78,3.236,2.642,2.512,3.132,2.766,3.048,3.532
4805138325700608,0.0,2.9,3.43,3.206,2.107,2.994,2.796,2.82,2.653,3.253,2.891,3.028,3.146,2.527,3.198,2.866,3.105,2.776,3.262,2.881,2.682,2.989
4805509571936256,0.0,3.505,3.075,3.755,3.471,3.679,3.728,4.073,3.019,2.982,4.104,3.028,3.805,3.651,4.157,3.459,2.822,4.396,3.404,3.841,3.944,4.154
4805906990628864,0.0,2.628,3.185,2.857,4.215,2.429,3.728,2.972,2.653,3.112,2.891,3.61,2.371,3.37,3.198,3.135,3.105,2.638,2.9,2.561,3.725,3.121
4808879007334400,0.0,3.235,3.716,3.651,2.682,3.301,2.734,2.972,2.736,3.767,3.635,2.47,3.339,2.347,3.326,3.135,3.763,3.517,3.132,3.841,2.395,2.981
4810466937274368,0.0,2.103,3.303,2.577,2.566,3.219,2.617,2.894,1.903,3.579,2.707,2.183,3.208,2.434,3.08,2.006,3.356,2.776,2.373,3.292,2.579,3.091
4811429681037312,0.0,2.628,2.548,3.206,2.107,3.219,2.861,2.444,2.918,2.556,3.348,1.916,2.922,2.527,2.772,2.787,12.419,1.172,1.398,3.457,2.579,2.776
4816082271469568,0.0,3.364,2.702,2.577,2.95,3.301,2.511,2.34,3.243,2.651,2.596,2.608,3.272,2.347,2.52,3.135,2.388,2.638,2.9,3.292,2.484,2.503
4816845366362112,0.0,2.549,2.877,2.987,2.81,3.679,3.237,2.682,2.135,2.753,3.18,2.347,3.805,3.057,3.08,3.858,2.822,3.103,4.121,3.457,2.312,2.573
4817966956806144,0.0,3.364,2.347,2.629,2.81,3.301,3.325,3.142,2.824,2.237,3.103,2.29,3.272,2.987,3.465,3.236,2.484,2.198,2.447,3.639,3.529,3.167
4821699719593984,0.0,3.823,3.075,4.107,2.682,3.301,4.101,2.972,3.502,3.112,4.387,2.133,3.208,3.983,3.08,3.858,2.822,3.768,2.526,3.292,4.191,3.234
4822056067661824,0.0,4.396,3.657,4.423,4.103,4.261,4.355,3.578,4.213,3.784,4.565,3.667,4.149,4.027,3.895,4.699,3.283,4.71,3.233,3.955,4.577,3.853
4824222207574016,0.0,2.336,3.075,2.629,2.36,2.429,2.861,2.444,2.085,2.982,2.827,1.956,2.406,2.629,2.772,2.389,2.76,2.776,2.175,2.469,2.794,2.549
4825104856907776,0.0,2.804,3.075,2.796,2.682,2.524,3.237,3.142,2.736,3.253,2.891,2.183,2.406,3.37,2.97,3.135,3.268,2.931,2.526,2.561,3.725,3.152
4825688301371392,0.0,3.115,2.175,2.682,3.106,2.341,2.929,10.997,8.755,0.895,12.721,1.38,2.304,2.682,3.08,3.236,1.971,2.294,3.729,2.764,2.763,2.76
4828136969601024,0.0,3.605,2.368,2.664,3.767,3.125,3.015,2.618,3.502,2.105,2.827,3.477,2.975,2.796,2.682,3.786,2.053,3.194,3.645,3.292,2.915,2.632
4831857753456640,0.0,2.804,2.229,2.629,2.459,2.575,2.46,2.82,2.736,2.105,2.766,1.877,2.639,2.155,3.08,3.135,1.701,2.931,2.237,2.659,2.453,2.451
4832267654397952,0.0,2.273,3.43,1.991,2.81,2.146,3.0,3.234,2.085,2.982,2.356,2.47,1.925,3.206,3.198,2.333,2.822,2.11,3.132,2.095,3.193,2.981
