,b,c,n,w,y,p,bike
4668141518979072,244,mixed,The Shamrocks,0,2024,0.124,n
4676107878006784,24,mixed,Chafing Thighs and Chasing Lies,0,2024,0.133,n
4700097652719616,152,mixed,Sole 7rain,9900,2024,0.151,n
4703248044785664,163,female,Witty name TBD for 4 years,0,2024,0.126,n
4714749832986624,96,mixed,Just Run Then Drink Beer,9900,2024,0.153,n
4720213803139072,228,mixed,14 Feet on Fire,1800,2024,0.128,n
4733768619261952,100,mixed,You Canât Be Naked Here,1800,2024,0.127,n
4779619509075968,44,female,7 girls and a baby,2700,2024,0.139,n
4788473852592128,168,mixed,Kicking Asphalt,1800,2024,0.125,n
4788773460115456,131,mixed,Dey Bow Bow,9900,2024,0.152,n
4789102796865536,135,mixed,Runs N' Goses,2700,2024,0.137,n
4790375617134592,143,mixed,Agony of De Feet,1800,2024,0.125,n
4794896170876928,208,mixed,Misery Loves Company,9000,2024,0.139,n
4798416265674752,238,female,Molasses Run Club,9000,2024,0.157,n
4799189124907008,117,mixed,Quads of Fury,2700,2024,0.149,n
4804619976835072,99,mixed,Ferrari With Benefits,2700,2024,0.137,n
4805138325700608,41,mixed,Salsa and Chips,0,2024,0.136,n
4805509571936256,175,mixed,Seidel Sandwich,11700,2024,0.167,n
4805906990628864,98,mixed,Seal Team 7,2700,2024,0.138,n
4808879007334400,97,mixed,BRING BACK BIKES,9000,2024,0.145,n
4810466937274368,36,mixed,Wineosaurs,1800,2024,0.125,n
4811429681037312,37,mixed,Running On Empty,1800,2024,0.125,n
4816082271469568,123,female,The Hustler's,1800,2024,0.127,n
4816845366362112,16,mixed,Why Are We Driving?,2700,2024,0.139,n
4817966956806144,230,mixed,Doctor and the degenerates,0,2024,0.135,n
4821699719593984,289,mixed,Lil Shits,9000,2024,0.155,n
4822056067661824,252,mixed,Six pack with a chaser,11700,2024,0.188,n
4824222207574016,263,female,Running Rainbow,1800,2024,0.118,n
4825104856907776,51,mixed,Seneca Shin Splinters,1800,2024,0.134,n
4825688301371392,288,female,Pour Choices,0,2024,0.124,n
4828136969601024,236,mixed,Better At Running Up A Tab,2700,2024,0.134,n
4831857753456640,68,mixed,MIMtastics,1800,2024,0.114,n
4832267654397952,302,mixed,We're not relay-ted,1800,2024,0.118,n
4835942200246272,292,mixed,Whereâs the Chile?,0,2024,0.139,n
4836447597101056,233,mixed,Seneca Slow Pokes,0,2024,0.141,n
4836681739927552,77,female,The Lady Parts,0,2024,0.129,n
4836950477373440,64,female,Darleneâs Dirty Pickles,0,2024,0.124,n
4837032517959680,95,mixed,Savage Lilac,0,2024,0.125,n
4837517647937536,155,mixed,The Whine Tour,0,2024,0.118,n
4838514382340096,130,mixed,The Sultans of Sweat,0,2024,0.116,n
4840835141074944,139,female,Sole Sisters,2700,2024,0.129,n
4843985533140992,234,mixed,"No Slack In The Seven Pack, Take 2",2700,2024,0.142,n
4844844862144512,147,mixed,Seneca Seven Superstars,0,2024,0.128,n
4845025015889920,296,mixed,Captain Quickie and the Gravy Fries,0,2024,0.126,n
4846405545885696,237,mixed,Scrambled Legz,9000,2024,0.141,n
4848152389615616,291,mixed,Angry Lake Trout,0,2024,0.133,n
4849405647650816,45,female,Sore Toes & Stinky Clothes,1800,2024,0.13,n
4853074287919104,196,mixed,Nomads,2700,2024,0.134,n
4854400560398336,114,mixed,Buffalo Bounders,0,2024,0.134,n
4855245293223936,70,mixed,Syracuse Trail Runners,9900,2024,0.165,n
4855487321341952,240,mixed,Corning runners anonymous,9000,2024,0.152,n
4855921482137600,2,mixed,FLX TriHards,1800,2024,0.121,n
4858227644694528,13,male,Tiger Tough,2700,2024,0.137,n
4858267037597696,9,mixed,Cruisin' Then Boozin',1800,2024,0.117,n
4860951291494400,153,mixed,The Windbreakers,2700,2024,0.143,n
4861326966915072,28,male,All4GLORY,9000,2024,0.141,n
4861728814792704,282,male,High Noon Masters,11700,2024,0.194,n
4863323589836800,262,mixed,Threat Level Midnight,0,2024,0.117,n
4864300829114368,127,mixed,Randomly Kind,9900,2024,0.148,n
4864782301659136,144,female,Heart and Sole,0,2024,0.123,n
4864867999678464,165,female,Wheezinâ & Chafinâ Association,0,2024,0.124,n
4869447441448960,265,male,Slower and Unsteadier,9000,2024,0.145,n
4871162878230528,306,mixed,OneNY Ragtag Ratpack,0,2024,0.133,n
4874116674879488,297,mixed,YogOdyssey,1800,2024,0.141,n
4874506107617280,56,mixed,OHH The Hill With It!,2700,2024,0.144,n
4876489845637120,30,mixed,GOFRs Gone Wild,1800,2024,0.121,n
4877615764602880,171,female,INSPIRED[BY]AMY,1800,2024,0.131,n
4879730364907520,159,mixed,Seven Sweaty Soles,1800,2024,0.115,n
4882060149784576,206,mixed,"Like Fun, Only Different",2700,2024,0.134,n
4885578600415232,94,mixed,Hot Mess Express,0,2024,0.13,n
4891556590911488,160,mixed,The NARPS,1800,2024,0.126,n
4893953719533568,63,male,Has Beens,9000,2024,0.151,n
4896652536053760,151,female,7 Swift Swifties,9000,2024,0.155,n
4897578772594688,107,mixed,Buffalo Barnstormers,9900,2024,0.152,n
4901920078561280,181,female,FBR's Heart and Sole,0,2024,0.13,n
4903041669005312,172,male,LUNAR Brothers,9900,2024,0.149,n
4904079507587072,11,female,Between a walk &a hard pace,1800,2024,0.135,n
