,bib_number,category,team_name,start_time,year,bikers,place
4528381639000064,5,mixed,The Seven Neon Dwarfs,5400,2025,n,74
4553972228554752,171,mixed,Crooked Lake Crawlers,5400,2025,n,43
4573527147544576,274,mixed,The Running Joke's on Us,9900,2025,n,35
4590327012786176,3,female,Running on Caffeine and Chaos,7200,2025,n,16
4605379832971264,21,mixed,77 bottles v 13.0v.2,0,2025,n,122
4608712861810688,221,mixed,The OGs,2700,2025,n,94
4649611117461504,178,mixed,Windbreakers,7200,2025,n,55
4649855897042944,114,mixed,Hot Mess Express,3600,2025,n,53
4655346140315648,1,mixed,Toddys,7200,2025,n,42
4659014780583936,300,mixed,WRONG CROWD,3600,2025,n,90
4660695756963840,77,mixed,Best pace scenario,9900,2025,n,10
4661109717991424,19,mixed,The Replacements,12600,2025,n,16
4661454590443520,228,female,Here We Go Again- Part 6,2700,2025,n,39
4664583641890816,50,mixed,Seidel Sandwich,12600,2025,n,19
4679081605988352,39,mixed,Team FOH,12600,2025,n,14
4692756781858816,139,mixed,2 Brains and 5 Pairs,12600,2025,n,3
4693784621219840,179,mixed,a Few Good Runners,7200,2025,n,13
4702191080177664,8,mixed,Jacob's Joggers,12600,2025,n,9
4709729150435328,76,mixed,Slowerer and Unsteadierer,9000,2025,n,32
4714264635899904,49,male,All4GLORY,8100,2025,n,14
4716513789476864,34,mixed,Strong Hearts Vegan Power,3600,2025,n,78
4724295766900736,46,female,Hot Flashes and Sweaty Asses,2700,2025,n,17
4725910540386304,218,mixed,The Seneca Sippers,9900,2025,n,44
4726601124151296,294,female,Mimtastics,0,2025,n,45
4727287849156608,280,mixed,Between a Walk and a Hard Pace,0,2025,n,103
4727767610425344,183,mixed,Chaffing the Dream,8100,2025,n,61
4743000081039360,116,mixed,Running Cousins,2700,2025,n,121
4749449007988736,145,mixed,Chafing the Dream,2700,2025,n,114
4757080057577472,23,mixed,Syracuse Trail Runners,12600,2025,n,8
4771508564000768,81,male,Dead Battery,12600,2025,n,8
4776599375314944,55,female,Lowville Ladies,8100,2025,n,9
4777152184582144,272,mixed,Finger Lakin Good,9900,2025,n,62
4782707825442816,187,mixed,Why Are We Driving?,3600,2025,n,81
4796083628670976,110,female,Ladies from the 80's,9900,2025,n,6
4805321130246144,69,mixed,7 Lagers Later,9900,2025,n,12
4816365202440192,113,mixed,Kickin' Asphalt,9900,2025,n,30
4821573286494208,16,mixed,Shrimply the Best,2700,2025,n,57
