,distance,label,lat,lon,name,year
6271974078676992,0,S,42.869892,-76.97695,Start,2025
6298824637153280,6245.1,1,42.8225,-76.97856,Turk Road,2025
6217958791577600,11633.1,2,42.77486,-76.97866,West Lake Fire,2025
6284307446366208,19518.9,3,42.70583,-76.97397,Anthony Road,2025
6311236555767808,23115.8,4,42.68306,-76.958,Dresden,2025
6304367527329792,30825.9,5,42.61907,-76.94358,Scenic Overlook,2025
6211252636352512,38207.1,6,42.55683,-76.92051,Ol' Fourteener,2025
4810583908024320,44805.4,7,42.50076,-76.92199,Glenora,2025
6308986630438912,50058.5,8,42.46505,-76.9164,Magnus Ridge,2025
5936483814866944,54352.9,9,42.42841,-76.90517,Lakewood,2025
6300482561638400,61985.7,10,42.38618,-76.85853,Clute Park,2025
4896992643776512,69726.4,11,42.4517,-76.86423,Covert,2025
4903861672214528,77509.9,12,42.51984,-76.87355,Scale House,2025
6328496922034176,85395.7,13,42.58598,-76.85196,Idol Ridge,2025
6242600562458624,90384.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2025
6287806133436416,96403.8,15,42.67589,-76.86435,Bonavista,2025
6247725498630144,104787.5,16,42.72698,-76.9071,Sampson South,2025
6251184658579456,106399.1,17,42.72945,-76.90773,Sampson North,2025
6308433821171712,112779,18,42.78306,-76.92658,Seneca Lake Camp,2025
6200448746782720,116927.4,19,42.81915,-76.93092,Zugibe,2025
4921122038480896,120950.8,20,42.85454,-76.93375,Watershed,2025
6196031540690944,126749.7,F,42.87002,-76.97667,Finish,2025
6300939170349056,0,S,42.86663,-76.98338,Start,2024
6220951914020864,5046.6,1,42.82252,-76.97855,Missick,2024
6307556372774912,10397.2,2,42.77486,-76.97866,West Lake Fire,2024
6273527883759616,18282.9,3,42.70583,-76.97397,Anthony Road,2024
4813577030467584,21823.5,4,42.68311,-76.958,Dresden,2024
6282250157031424,29548.3,5,42.61907,-76.94358,Scenic Overlook,2024
6321178197098496,36929.5,6,42.55683,-76.92051,Ol' Fourteener,2024
6309817572392960,43527.8,7,42.50076,-76.92199,Glenora,2024
4902442688839680,48780.9,8,42.46505,-76.9164,Magnus Ridge,2024
5939476937310208,53075.3,9,42.42841,-76.90517,Lakewood Vineyards,2024
6223518794514432,60708.1,10,42.38618,-76.85853,Clute Park,2024
6028342595682304,66340.5,11,42.43278,-76.86317,Hector Falls,2024
6290176686948352,76157.5,12,42.51984,-76.87355,Scale House,2024
5465392642260992,84043.2,13,42.58598,-76.85196,Idol Ridge,2024
6214833665998848,89032.2,14,42.6271,-76.84358,Billy's Burgundy Barn,2024
6272822099836928,95051.3,15,42.67589,-76.86435,Bonavista,2024
6196694710484992,102502.7,16,42.719913,-76.90298,Sampson South,2024
6296062302093312,105667.8,17,42.742188,-76.91621,Sampson North,2024
6277782652846080,110365.7,18,42.78306,-76.92658,Seneca Lake Camp,2024
6203567362801664,114514.1,19,42.81915,-76.93092,Zugibe,2024
5376526983888896,118537.4,20,42.85454,-76.93375,Watershed,2024
4870407769292800,124336.4,F,42.87002,-76.97667,Finish,2024
6306619969241088,0,S,42.86657,-76.98338,Start,2023
6246879826280448,5034.1,1,42.8225,-76.97854,Missick,2023
6044669142106112,10384.7,2,42.77486,-76.97866,West Lake Fire,2023
5427290276102144,18270.4,3,42.70583,-76.97397,Anthony Road Winery,2023
4878799598518272,21811,4,42.68311,-76.958,Dresden,2023
6298675722584064,29535.8,5,42.61907,-76.94358,Scenic Overlook,2023
5481719188684800,36938.8,6,42.55683,-76.92051,Ol' Fourteener,2023
4899245085687808,43537.1,7,42.50076,-76.92199,Glenora,2023
6607619095527424,48848,8,42.46503,-76.91644,Magnus Ridge,2023
4792220137816064,53193.2,9,42.42841,-76.90517,Lakewood,2023
6541167361523712,60799.3,10,42.38618,-76.85853,Clute Park,2023
4892764886007808,66431.6,11,42.43278,-76.86317,Hector Falls,2023
4778031746908160,76248.6,12,42.51984,-76.87355,Scale House,2023
4922916428840960,84134.4,13,42.58598,-76.85196,Idol Ridge,2023
6244364854493184,89123.4,14,42.6271,-76.84358,Billy's Burgundy Barn,2023
5421418888036352,95078,15,42.6759,-76.86417,Bonavista,2023
6004699505360896,102530.8,16,42.71996,-76.90301,Sampson South,2023
6018664792850432,106706.4,17,42.74206,-76.91626,Sampson North,2023
6553190182944768,111422.4,18,42.78306,-76.92658,Seneca Lake Camp,2023
4723602834325504,115606.7,19,42.81915,-76.93092,Zugibe,2023
4920818169544704,119630,20,42.85454,-76.93375,Bottomless,2023
5903931653750784,125209.7,F,42.87012,-76.976295,Finish,2023
6197111624302592,0,S,42.86657,-76.98338,Start,2022
6219435186585600,6115.5,1,42.81292,-76.97709,Roy's Marina,2022
4812060303032320,10460.7,2,42.77486,-76.97866,West Lake Fire,2022
6262672286810112,18346.5,3,42.70583,-76.97397,Anthony Road,2022
6242296693522432,21887.1,4,42.68311,-76.958,Dresden,2022
6327693796704256,29611.9,5,42.61907,-76.94358,Scenic Overlook,2022
6304458627612672,37014.9,6,42.55683,-76.92051,Ol' Fourteener,2022
6203900491202560,43613.2,7,42.50076,-76.92199,Glenora,2022
6317693032464384,48924.1,8,42.46503,-76.91644,Magnus Ridge,2022
6236332124798976,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2022
6255550425726976,60919.3,10,42.38559,-76.85822,Clute Park,2022
6297637951111168,66552,11,42.43278,-76.86317,Hector Falls,2022
6292809132802048,76369,12,42.51984,-76.87355,Scale House,2022
4910318148911104,84254.8,13,42.58598,-76.85196,Idol Ridge,2022
6196439596138496,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2022
4855297403256832,95198.3,15,42.6759,-76.86417,Bonavista,2022
6219934543642624,102651.1,16,42.71996,-76.90301,Sampson (south),2022
6287887637151744,106826.7,17,42.74206,-76.91626,Sampson (north),2022
6276949294972928,111542.7,18,42.78306,-76.92658,Seneca Lake Camp,2022
4828957241245696,115727,19,42.81915,-76.93092,Zugibe,2022
4869574411419648,119750.4,20,42.85454,-76.93375,Bottomless,2022
4920318913150976,125544,F,42.872,-76.97222,Finish,2022
5119037537255424,0,S,42.86657,-76.98338,Start,2021
6244937444098048,6115.5,1,42.81292,-76.97709,Roy's Marina,2021
5681987490676736,10460.7,2,42.77486,-76.97866,Kashong-ish,2021
5633693670440960,18346.5,3,42.70583,-76.97397,Anthony Road,2021
6205799084851200,21887.1,4,42.68311,-76.958,Dresden,2021
5714624192184320,29611.9,5,42.61907,-76.94358,Scenic Overlook,2021
6286334754816000,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2021
5963462467387392,43613.2,7,42.50076,-76.92199,Glenora,2021
4878959871262720,48924.1,8,42.46503,-76.91644,Magnus Ridge,2021
5723384801394688,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2021
5079899178008576,60919.3,10,42.38559,-76.85822,Clute Park,2021
6526412420808704,66552,11,42.43278,-76.86317,Hector Falls,2021
5160434847973376,76369,12,42.51984,-76.87355,Scale House,2021
5070743717019648,84254.8,13,42.58598,-76.85196,Idol Ridge,2021
4837562560544768,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2021
